year,brand,model,mileage,D_rate,PC
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
2015,ACURA,MDX,29825,6,1
2016,ACURA,MDX,8801,6,1
2015,ACURA,MDX,53040,8,1
2016,ACURA,MDX,35477,2,1
2014,ACURA,MDX TECHNOLOGY,45234,2,1
2015,ACURA,RDX,28447,7,1
2015,ACURA,RDX,11917,7,1
2015,ACURA,RDX,47950,9,1
2015,ACURA,RDX,57452,7,1
2015,ACURA,RDX,31813,7,1
2015,ACURA,MDX,24892,6,1
